"AUD.Open" "AUD.High" "AUD.Low" "AUD.Close" "AUD.Volume" "AUD.Adjusted"
"2007-11-30" 30.01 30.01 30.01 30.01 0 30.01
"2008-01-22" 26.5 26.5 26.5 26.5 300 26.5
"2008-03-05" 19.9 19.9 19.9 19.9 0 19.9
"2008-03-31" 20.23 20.23 20.23 20.23 0 20.23
"2008-04-29" 23.44 23.44 23.44 23.44 0 23.44
"2008-05-12" 26 26 26 26 500 26
"2008-08-20" 26.66 26.66 26.66 26.66 0 26.66
"2008-12-18" 13.15 13.15 13.15 13.15 0 13.15
"2009-12-28" 17.85 17.85 17.85 17.85 1000 17.85
"2010-01-04" 18.21 18.21 18.21 18.21 0 18.21
"2010-01-07" 18.375 18.375 18.375 18.375 100 18.375
"2010-01-08" 18.9 18.9 18.9 18.9 0 18.9
"2010-01-21" 18 18 18 18 0 18
"2010-03-19" 21.85 21.85 21.85 21.85 200 21.85
"2010-04-06" 21.95 21.95 21.95 21.95 0 21.95
"2010-04-08" 22.41 22.41 22.41 22.41 0 22.41
"2010-04-14" 24.29 24.29 24.29 24.29 0 24.29
"2010-04-30" 26.1 26.1 26.1 26.1 0 26.1
"2010-05-05" 26.02 26.02 26.02 26.02 0 26.02
"2010-05-07" 26.02 26.02 26.02 26.02 0 26.02
"2010-05-14" 26.1 26.1 26.1 26.1 800 26.1
"2010-08-02" 25 25 25 25 0 25
"2010-09-20" 24.67 24.67 24.67 24.67 0 24.67
"2010-11-08" 26.3 26.3 26.3 26.3 0 26.3
"2010-11-17" 25.73 25.73 25.73 25.73 0 25.73
"2010-12-13" 30.815 30.815 30.815 30.815 0 30.815
"2010-12-20" 29.72 29.72 29.72 29.72 1400 29.72
"2011-01-10" 30.87 30.87 30.87 30.87 0 30.87
"2011-01-11" 30.53 30.53 30.53 30.53 0 30.53
"2011-05-23" 29.82 29.82 29.82 29.82 100 29.82
"2011-11-17" 29.82 29.82 29.82 29.82 0 29.82
"2011-11-18" 29.82 29.82 29.82 29.82 0 29.82
"2011-11-21" 29.82 29.82 29.82 29.82 0 29.82
"2011-11-22" 29.82 29.82 29.82 29.82 0 29.82
"2011-11-23" 29.82 29.82 29.82 29.82 0 29.82
"2011-11-24" 29.82 29.82 29.82 29.82 0 29.82
"2011-11-25" 29.82 29.82 29.82 29.82 0 29.82
"2011-11-28" 29.82 29.82 29.82 29.82 0 29.82
"2011-11-29" 29.82 29.82 29.82 29.82 0 29.82
"2011-11-30" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-01" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-02" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-05" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-06" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-07" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-08" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-09" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-12" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-13" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-14" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-15" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-16" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-19" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-20" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-21" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-22" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-23" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-26" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-27" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-28" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-29" 29.82 29.82 29.82 29.82 0 29.82
"2011-12-30" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-02" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-03" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-04" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-05" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-06" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-09" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-10" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-11" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-12" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-13" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-16" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-17" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-18" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-19" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-20" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-23" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-24" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-25" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-26" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-27" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-30" 29.82 29.82 29.82 29.82 0 29.82
"2012-01-31" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-01" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-02" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-03" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-06" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-07" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-08" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-09" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-10" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-13" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-14" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-15" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-16" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-17" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-20" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-21" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-22" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-23" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-24" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-27" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-28" 29.82 29.82 29.82 29.82 0 29.82
"2012-02-29" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-01" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-02" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-05" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-06" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-07" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-08" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-09" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-12" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-13" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-14" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-15" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-16" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-19" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-20" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-21" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-22" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-23" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-26" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-27" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-28" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-29" 29.82 29.82 29.82 29.82 0 29.82
"2012-03-30" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-02" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-03" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-04" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-05" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-06" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-09" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-10" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-11" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-12" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-13" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-16" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-17" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-18" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-19" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-20" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-23" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-24" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-25" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-26" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-27" 29.82 29.82 29.82 29.82 0 29.82
"2012-04-30" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-01" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-02" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-03" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-04" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-07" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-08" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-09" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-10" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-11" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-14" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-15" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-16" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-17" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-18" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-21" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-22" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-23" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-24" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-25" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-28" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-29" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-30" 29.82 29.82 29.82 29.82 0 29.82
"2012-05-31" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-01" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-04" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-05" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-06" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-07" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-08" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-11" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-12" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-13" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-14" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-15" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-18" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-19" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-20" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-21" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-22" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-25" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-26" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-27" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-28" 29.82 29.82 29.82 29.82 0 29.82
"2012-06-29" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-02" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-03" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-04" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-05" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-06" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-09" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-10" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-11" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-12" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-13" 29.82 29.82 29.82 29.82 0 29.82
"2012-07-16" 29.82 29.82 29.82 29.82 0 29.82
