"EUR.Open" "EUR.High" "EUR.Low" "EUR.Close" "EUR.Volume" "EUR.Adjusted"
"2007-01-02" 7.9 8 7.7 7.7 103100 6.71
"2007-01-03" 7.66 7.75 7.53 7.6 107100 6.62
"2007-01-04" 7.43 7.43 7.31 7.4 43900 6.45
"2007-01-05" 7.4 7.4 7.3 7.35 77400 6.4
"2007-01-08" 7.3 7.3 7.2 7.22 6000 6.29
"2007-01-09" 7.28 7.55 7.28 7.35 28900 6.4
"2007-01-10" 7.35 7.68 7.35 7.5 54900 6.53
"2007-01-11" 7.68 7.68 7.45 7.45 25000 6.49
"2007-01-12" 7.43 7.6 7.31 7.35 303000 6.4
"2007-01-15" 7.33 7.9 7.33 7.9 1257100 6.88
"2007-01-16" 7.99 8.4 7.9 8.4 55200 7.32
"2007-01-17" 8.4 8.4 8.15 8.39 37300 7.31
"2007-01-18" 8.4 8.5 8.2 8.5 44700 7.41
"2007-01-19" 8.4 8.5 8.4 8.5 16300 7.41
"2007-01-22" 8.5 8.89 8.4 8.82 41400 7.68
"2007-01-23" 8.6 8.74 8.6 8.7 146100 7.58
"2007-01-24" 8.6 8.7 8.5 8.64 13200 7.53
"2007-01-25" 8.6 8.7 8.6 8.6 8400 7.49
"2007-01-26" 8.4 8.7 8.4 8.7 13000 7.58
"2007-01-29" 8.69 8.7 8.6 8.7 8400 7.58
"2007-01-30" 8.6 8.69 8.6 8.69 11600 7.57
"2007-01-31" 8.69 8.7 8.52 8.7 32200 7.58
"2007-02-01" 8.65 9.15 8.65 9.15 20500 7.97
"2007-02-02" 9.15 9.4 9.15 9.4 189000 8.19
"2007-02-05" 9.39 9.55 9.39 9.47 96900 8.25
"2007-02-06" 9.56 9.56 9.47 9.49 18100 8.27
"2007-02-07" 9.42 9.42 9.1 9.23 11400 8.04
"2007-02-08" 9.23 9.23 8.22 9 24300 7.84
"2007-02-09" 9 9 8.78 9 28200 7.84
"2007-02-12" 9 9 8.8 8.8 12100 7.67
"2007-02-13" 8.6 8.85 8.6 8.85 28400 7.71
"2007-02-14" 8.87 9 8.85 9 61500 7.84
"2007-02-15" 9 9.01 9 9 5100 7.84
"2007-02-16" 9.05 9.05 8.8 9 4100 7.84
"2007-02-19" 9 9 8.91 9 6500 7.84
"2007-02-20" 9.1 9.1 9 9 5800 7.84
"2007-02-21" 9.09 9.49 9 9.49 25000 8.27
"2007-02-22" 9.5 9.8 9.49 9.7 45300 8.45
"2007-02-23" 9.8 9.8 9.69 9.74 15200 8.49
"2007-02-26" 9.74 9.74 9.55 9.55 4400 8.32
"2007-02-27" 9.55 9.55 9 9.27 9600 8.08
"2007-02-28" 9 9.2 9 9 74900 7.84
"2007-03-01" 9.2 9.2 8.89 9 11300 7.84
"2007-03-02" 9 9.28 8.7 9 289400 7.84
"2007-03-05" 8.9 9 8.6 9 10600 7.84
"2007-03-06" 8.9 9 8.8 9 274700 7.84
"2007-03-07" 9 9.29 9 9.29 500 8.09
"2007-03-08" 9.11 9.35 9.11 9.3 25900 8.1
"2007-03-09" 9.4 9.4 9.13 9.25 200 8.06
"2007-03-12" 9.4 9.4 9.4 9.4 100 8.19
"2007-03-13" 9.34 9.51 9.34 9.4 119700 8.19
"2007-03-14" 9.26 9.26 9.1 9.25 35400 8.06
"2007-03-15" 9.21 9.48 9.21 9.48 1200 8.26
"2007-03-16" 9.35 9.4 9.21 9.4 15800 8.19
"2007-03-19" 9.49 9.49 9.25 9.25 36300 8.06
"2007-03-20" 9.25 9.39 9.25 9.29 131800 8.09
"2007-03-21" 9.3 9.44 9.3 9.44 5900 8.23
"2007-03-22" 9.4 9.83 9.35 9.8 9800 8.54
"2007-03-23" 9.8 9.8 9.65 9.7 1500 8.45
"2007-03-26" 9.5 9.74 9.5 9.74 102200 8.49
"2007-03-27" 9.61 9.78 9.6 9.78 72200 8.52
"2007-03-28" 9.77 9.77 9.6 9.77 374400 8.51
"2007-03-29" 9.77 9.9 9.6 9.8 45700 8.54
"2007-03-30" 10 10.07 10 10.07 3600 8.77
"2007-04-02" 10.15 10.99 10.15 10.69 7900 9.31
"2007-04-03" 10.86 10.87 10.41 10.7 6300 9.32
"2007-04-04" 10.9 10.99 10.3 10.41 2800 9.07
"2007-04-05" 10.31 10.5 9.97 9.97 56200 8.69
"2007-04-10" 10.12 11.95 9.97 10.98 1374100 9.57
"2007-04-11" 11 11 10.54 10.54 11500 9.18
"2007-04-12" 10.53 10.53 10.31 10.52 253400 9.17
"2007-04-13" 10.74 10.74 9.59 10.2 64200 8.89
"2007-04-16" 10.77 10.86 10.55 10.55 12400 9.19
"2007-04-17" 10.69 11.48 10.62 10.69 11700 9.31
"2007-04-18" 10.5 11.1 10.5 11.1 4100 9.67
"2007-04-19" 11.1 11.1 10.5 10.7 3400 9.32
"2007-04-20" 10.7 10.7 10.55 10.6 265400 9.24
"2007-04-23" 10.4 10.6 10.01 10.2 7000 8.89
"2007-04-24" 10.34 10.34 10.02 10.34 500 9.01
"2007-04-25" 10.44 10.52 10.2 10.45 23700 9.11
"2007-04-26" 10.3 10.53 10.2 10.2 8400 8.89
"2007-04-27" 10.34 10.98 10.3 10.6 151000 9.24
"2007-04-30" 10.6 10.6 10.39 10.39 1200 9.05
"2007-05-02" 10.2 10.55 9.88 10.5 178200 9.15
"2007-05-04" 10.9 11 10.85 10.9 433100 9.5
"2007-05-07" 11 11.5 11 11.2 66900 9.76
"2007-05-08" 11.49 11.55 11.3 11.3 8800 9.85
"2007-05-09" 11.15 11.44 11.05 11.05 5100 9.63
"2007-05-10" 11.29 11.3 10.96 11.28 5300 9.83
"2007-05-11" 11.31 11.31 10.21 11.28 6800 9.83
"2007-05-14" 11.3 11.5 11.1 11.2 7200 9.76
"2007-05-15" 11.35 11.35 10.82 11 3000 9.58
"2007-05-16" 11.18 11.2 10.31 11 11600 9.58
"2007-05-17" 11 11 10.65 10.66 5800 9.29
"2007-05-18" 10.66 10.78 10.5 10.73 3500 9.35
"2007-05-21" 10.75 10.75 10.61 10.61 189800 9.24
"2007-05-22" 10.65 10.88 10.62 10.7 19900 9.32
"2007-05-23" 10.87 10.95 10.87 10.89 462600 9.49
"2007-05-24" 10.7 10.97 10.7 10.88 551800 9.48
"2007-05-25" 10.87 10.93 10.87 10.87 1200 9.47
"2007-05-28" 10.7 10.8 10.5 10.51 220700 9.16
"2007-05-29" 10.55 11.04 10.55 11.04 29200 9.62
"2007-05-30" 11.28 11.28 10.5 10.8 17900 9.41
"2007-05-31" 10.8 10.8 10.55 10.56 204300 9.2
"2007-06-04" 10.78 10.8 10.6 10.6 2900 9.24
"2007-06-05" 10.6 10.6 10.4 10.55 363400 9.19
"2007-06-06" 10.5 10.65 10.31 10.49 11100 9.14
"2007-06-08" 10.53 10.53 10.25 10.39 102500 9.05
"2007-06-11" 10.34 10.55 10.34 10.4 216800 9.06
"2007-06-12" 10.5 10.56 10.5 10.5 14000 9.15
"2007-06-13" 10.52 10.52 9.82 10.4 104600 9.06
"2007-06-14" 10.2 10.47 10.2 10.47 131900 9.12
"2007-06-15" 10.38 10.58 10.38 10.5 35000 9.15
"2007-06-18" 10.68 10.68 10.3 10.5 71700 9.15
"2007-06-19" 10.25 10.78 10.2 10.78 4900 9.39
"2007-06-20" 10.6 10.7 10.5 10.58 4800 9.22
"2007-06-21" 10.4 10.6 10.4 10.6 3300 9.24
"2007-06-22" 10.6 10.76 10.45 10.76 205500 9.38
"2007-06-25" 10.75 10.75 10.61 10.7 1100 9.32
"2007-06-26" 10.5 10.68 10.35 10.68 2300 9.31
"2007-06-27" 10.7 10.72 10.5 10.5 93000 9.15
"2007-06-28" 10.4 10.75 10.4 10.7 61100 9.32
"2007-06-29" 10.5 10.99 10.35 10.9 214600 9.5
"2007-07-02" 11.08 11.08 10.85 10.85 362400 9.45
"2007-07-03" 10.61 10.89 10.6 10.89 1900 9.49
"2007-07-04" 10.75 11.2 10.75 11 466600 9.58
"2007-07-05" 11.19 11.2 10.7 11.2 13100 9.76
"2007-07-06" 11 11.19 10.96 11 801900 9.58
"2007-07-09" 11.1 11.1 11 11.1 540800 9.67
"2007-07-10" 11.08 11.08 10.9 10.9 4100 9.5
"2007-07-11" 10.9 10.95 10.76 10.95 1700 9.54
"2007-07-12" 10.95 10.99 10.75 10.99 3500 9.58
"2007-07-13" 10.94 10.94 10.76 10.92 1100 9.51
"2007-07-16" 10.95 11 10.5 10.94 11000 9.53
"2007-07-17" 10.51 10.52 10.5 10.51 1700 9.16
"2007-07-18" 10.75 10.8 10.42 10.6 2400 9.24
"2007-07-19" 10.6 10.8 10.6 10.8 300 9.41
"2007-07-20" 10.8 10.94 10.61 10.94 5000 9.53
"2007-07-23" 10.95 11.89 10.95 11.89 1500 10.36
"2007-07-24" 11.6 11.6 10.91 11.15 6400 9.72
"2007-07-25" 11 11 10.9 10.9 28400 9.5
"2007-07-26" 11 11 10.61 10.61 3400 9.24
"2007-07-27" 9.77 10.2 9.2 10.05 8800 8.76
"2007-07-30" 10.05 10.6 10.05 10.6 5500 9.24
"2007-07-31" 10.98 11 10.62 11 24400 9.58
"2007-08-01" 11 11 10.55 10.58 3100 9.22
"2007-08-02" 10.66 10.8 10.5 10.78 503800 9.39
"2007-08-03" 10.89 10.89 10.61 10.88 7100 9.48
"2007-08-06" 10.88 10.96 10.55 10.56 2400 9.2
"2007-08-07" 10.6 10.6 10.2 10.4 220400 9.06
"2007-08-08" 10.5 10.65 10.5 10.65 2900 9.28
"2007-08-09" 10.85 11 10.41 10.65 55600 9.28
"2007-08-10" 10.3 10.65 10.2 10.5 31600 9.15
"2007-08-13" 10.65 10.65 10.5 10.59 11300 9.23
"2007-08-14" 10.59 10.6 10.45 10.49 11000 9.14
"2007-08-16" 10.36 10.36 10.2 10.2 286900 8.89
"2007-08-17" 10.19 10.8 9.4 9.9 56200 8.63
"2007-08-20" 9.9 10.1 9.5 9.9 24500 8.63
"2007-08-21" 9.9 9.9 8.92 9.5 587800 8.28
"2007-08-22" 9.4 9.5 8.76 9.4 122900 8.19
"2007-08-23" 9.4 9.6 9.4 9.6 132400 8.36
"2007-08-24" 9.59 9.59 9.5 9.5 103700 8.28
"2007-08-27" 9.3 9.66 9.3 9.66 10000 8.42
"2007-08-28" 9.75 9.9 9.75 9.9 2700 8.63
"2007-08-29" 9.9 10.04 9.9 10 32900 8.71
"2007-08-30" 10 10.2 10 10.17 7400 8.86
"2007-08-31" 10.2 10.2 10 10.04 35800 8.75
"2007-09-03" 9.9 9.99 9.71 9.99 1800 8.7
