"EWO.Open" "EWO.High" "EWO.Low" "EWO.Close" "EWO.Volume" "EWO.Adjusted"
"2007-01-03" 37.459999 37.459999 36.59 36.59 390200 28.518654
"2007-01-04" 36.630001 36.849998 36.380001 36.84 126900 28.713506
"2007-01-05" 36.09 36.16 35.720001 35.889999 256200 27.973065
"2007-01-08" 35.48 35.84 35.27 35.84 257100 27.934095
"2007-01-09" 35.93 36.040001 35.68 35.900002 162100 27.980861
"2007-01-10" 35.299999 35.299999 34.799999 34.950001 574000 27.24042
"2007-01-11" 35.119999 35.380001 35.049999 35.279999 190300 27.497624
"2007-01-12" 35.52 35.669998 35.43 35.669998 116700 27.801594
"2007-01-16" 35.77 35.790001 35.380001 35.400002 211700 27.591155
"2007-01-17" 35.119999 35.509998 35.119999 35.389999 129300 27.58336
"2007-01-18" 35.25 35.57 35.209999 35.25 117800 27.474243
"2007-01-19" 35.32 35.709999 35.32 35.709999 239000 27.832771
"2007-01-22" 35.889999 35.91 35.73 35.790001 87600 27.895125
"2007-01-23" 36.220001 36.23 36 36.169998 141500 28.191299
"2007-01-24" 36.23 36.330002 36.049999 36.330002 150900 28.316008
"2007-01-25" 36.560001 36.560001 35.900002 35.91 1035900 27.988654
"2007-01-26" 35.959999 35.970001 35.66 35.900002 126800 27.980861
"2007-01-29" 35.849998 36.029999 35.799999 35.900002 84400 27.980861
"2007-01-30" 36.16 36.209999 36.060001 36.18 57700 28.199095
"2007-01-31" 36.16 36.950001 36.16 36.75 603300 28.643359
"2007-02-01" 36.889999 37.049999 36.849998 36.900002 98900 28.760272
"2007-02-02" 36.91 36.91 36.77 36.82 101500 28.697918
"2007-02-05" 36.57 36.880001 36.419998 36.709999 199100 28.612182
"2007-02-06" 36.790001 36.860001 36.619999 36.73 157800 28.627771
"2007-02-07" 36.830002 37.040001 36.77 36.869999 179600 28.736888
"2007-02-08" 36.889999 37.049999 36.799999 37.049999 82500 28.877182
"2007-02-09" 36.639999 36.860001 36.439999 36.580002 185200 28.510861
"2007-02-12" 36.5 36.66 36.450001 36.59 81800 28.518654
"2007-02-13" 36.650002 36.959999 36.599998 36.91 38900 28.768065
"2007-02-14" 36.98 37.619999 36.98 37.509998 93300 29.23571
"2007-02-15" 37.509998 37.509998 37.310001 37.459999 150900 29.19674
"2007-02-16" 36.880001 37.240002 36.849998 37.240002 107800 29.025272
"2007-02-20" 37.439999 37.439999 37.25 37.330002 59000 29.095419
"2007-02-21" 37.130001 37.16 36.82 37.099998 109000 28.916152
"2007-02-22" 37.259998 37.389999 37.07 37.330002 67500 29.095419
"2007-02-23" 37.34 37.59 37.310001 37.560001 78800 29.274683
"2007-02-26" 37.490002 37.66 37.48 37.599998 126000 29.305858
"2007-02-27" 36.07 36.299999 34.639999 35.200001 382400 27.435273
"2007-02-28" 35.52 35.91 35.52 35.790001 179300 27.895125
"2007-03-01" 35.580002 35.720001 35.150002 35.299999 292100 27.513213
"2007-03-02" 35.52 35.860001 35.349998 35.450001 139400 27.630125
"2007-03-05" 34.849998 35.240002 33.450001 34.82 256200 27.139096
"2007-03-06" 35.490002 35.59 35.169998 35.540001 139000 27.700273
"2007-03-07" 35.810001 36.049999 35.610001 35.849998 69200 27.941888
"2007-03-08" 36.709999 36.779999 36.580002 36.650002 399100 28.565419
"2007-03-09" 36.77 36.990002 36.650002 36.830002 207600 28.705714
"2007-03-12" 36.759998 36.91 36.720001 36.889999 133700 28.752476
"2007-03-13" 36.790001 36.810001 36.060001 36.060001 132000 28.105567
