"EWZ.Open" "EWZ.High" "EWZ.Low" "EWZ.Close" "EWZ.Volume" "EWZ.Adjusted"
"2007-01-03" 47.5 47.599998 46.369999 46.700001 5882300 35.273061
"2007-01-04" 46.25 46.389999 45.599998 46.099998 4498700 34.819872
"2007-01-05" 46.080002 46.099998 43.849998 44.470001 7855700 33.588716
"2007-01-08" 44.970001 45.240002 44.240002 45.099998 6748200 34.06456
"2007-01-09" 44.650002 44.73 43.450001 43.950001 6888800 33.195954
"2007-01-10" 43.290001 44.459999 43.110001 44.27 8647700 33.437653
"2007-01-11" 44.540001 45.439999 44.27 44.669998 8105900 33.739776
"2007-01-12" 44.990002 45.549999 44.73 45.5 5076000 34.366686
"2007-01-16" 44.75 45.259998 44.650002 44.950001 3887700 33.951265
"2007-01-17" 44.630001 45.240002 44.540001 44.98 3523500 33.973924
"2007-01-18" 45.560001 45.720001 44.389999 44.689999 5269800 33.754883
"2007-01-19" 44.709999 45.91 44.709999 45.77 4259100 34.570621
"2007-01-22" 46.349998 46.419998 45.490002 45.93 5317900 34.691471
"2007-01-23" 45.950001 47.18 45.900002 47.150002 6448200 35.612952
"2007-01-24" 47.189999 47.799999 46.860001 47.52 5304200 35.892416
"2007-01-25" 47.599998 47.75 46.130001 46.59 7539800 35.189976
"2007-01-26" 47 47.110001 46.299999 47 5968600 35.499654
"2007-01-29" 46.759998 46.810001 45.889999 45.950001 6813700 34.706577
"2007-01-30" 46.259998 46.68 45.889999 46.52 3535000 35.137105
"2007-01-31" 46.759998 47.580002 46.459999 47.25 6046300 35.688482
"2007-02-01" 47.970001 48.369999 47.720001 47.990002 5851000 36.247414
"2007-02-02" 48.110001 48.150002 47.509998 48.040001 6243200 36.285179
"2007-02-05" 48.34 48.669998 48.040001 48.549999 4585900 36.670387
"2007-02-06" 48.810001 48.93 48.240002 48.669998 5376400 36.761023
"2007-02-07" 48.310001 48.450001 47.5 47.880001 6567000 36.164329
"2007-02-08" 47.299999 48.07 47.060001 48.07 5708000 36.307837
"2007-02-09" 47.639999 48.029999 46.799999 47.34 5570800 35.75646
"2007-02-12" 46.959999 47.189999 46.299999 46.709999 5180200 35.280613
"2007-02-13" 46.990002 48.18 46.900002 48.18 4854700 36.390922
"2007-02-14" 48.18 49.099998 48.009998 48.57 7634400 36.685493
"2007-02-15" 48.919998 49.16 48.66 48.93 3821600 36.957406
"2007-02-16" 48.470001 49.009998 48.349998 49.009998 2348500 37.017829
"2007-02-20" 48.599998 49.02 48.200001 49.02 3114800 37.025384
"2007-02-21" 48.799999 49.259998 48.299999 49.110001 5520100 37.093362
"2007-02-22" 49.740002 49.98 49.099998 49.310001 7874800 37.244425
"2007-02-23" 49.349998 49.549999 48.5 49.02 6190600 37.025384
"2007-02-26" 49.490002 49.5 48.639999 49.240002 4763400 37.191554
"2007-02-27" 46.799999 47.07 43.400002 45.009998 19721700 33.996582
"2007-02-28" 45.669998 46.049999 45.029999 45.82 10331000 34.608386
"2007-03-01" 43.759998 45.84 43.27 45.43 12371100 34.313815
"2007-03-02" 44.959999 45.400002 43.779999 43.84 11013500 33.112869
"2007-03-05" 42.439999 43.790001 39.799999 42.700001 12755600 32.251814
"2007-03-06" 44.009998 45.43 44.009998 45.43 11685500 34.313815
"2007-03-07" 45.150002 45.82 44.650002 44.959999 7644400 33.958817
"2007-03-08" 46.07 46.32 45.470001 45.849998 6616200 34.631044
"2007-03-09" 46.619999 46.720001 45.950001 46.639999 6769800 35.227741
"2007-03-12" 46.790001 47.18 46.330002 46.82 11320600 35.363698
"2007-03-13" 46.27 46.66 44.849998 45.009998 7826900 33.996582
"2007-03-14" 45 45.950001 44.110001 45.830002 13019300 34.615941
"2007-03-15" 45.549999 46.34 45.549999 45.889999 5367500 34.661257
"2007-03-16" 46.18 46.369999 45.029999 45.360001 4805300 34.260943
"2007-03-19" 45.98 46.66 45.900002 46.330002 5667500 34.993596
"2007-03-20" 46.689999 47.25 46.48 47.240002 6179900 35.68093
"2007-03-21" 47.490002 49.02 47.23 49.02 8990700 37.025384
"2007-03-22" 49.139999 49.25 48.59 48.709999 4422300 36.791236
"2007-03-23" 48.709999 49.189999 48.400002 48.950001 4424900 36.972513
"2007-03-26" 49.119999 49.27 48.189999 49.23 4994600 37.183999
"2007-03-27" 48.77 48.849998 48.360001 48.509998 4215200 36.640174
"2007-03-28" 48.099998 48.099998 47.200001 47.720001 6690500 36.043479
"2007-03-29" 48.580002 49.470001 48.209999 49.32 7083000 37.251977
"2007-03-30" 49.450001 49.630001 48.290001 49.220001 6908000 37.176447
"2007-04-02" 49.82 49.82 48.849998 49.580002 7055500 37.44836
"2007-04-03" 50.139999 50.66 49.91 50.66 4941500 38.264095
"2007-04-04" 50.450001 51.169998 50.240002 50.91 6572200 38.452923
"2007-04-05" 50.889999 51.290001 50.700001 51.25 2523700 38.709729
"2007-04-09" 51.970001 52.279999 51.5 51.5 5964900 38.898557
"2007-04-10" 51.360001 51.880001 51.299999 51.740002 4765900 39.079833
"2007-04-11" 52.009998 52.049999 50.84 51.130001 8322700 38.619092
"2007-04-12" 50.880001 51.779999 50.439999 51.610001 6607600 38.981642
"2007-04-13" 52.23 52.799999 51.610001 52.799999 4809500 39.880462
"2007-04-16" 53.02 53.549999 52.91 53.52 5480500 40.424287
"2007-04-17" 53.650002 53.77 52.93 53.25 6922300 40.220353
"2007-04-18" 52.950001 53.59 52.669998 53.080002 6357200 40.091951
"2007-04-19" 52.380001 53.169998 52.09 53.02 6435300 40.046631
"2007-04-20" 54.16 54.200001 53.509998 54.029999 4278500 40.809495
"2007-04-23" 53.709999 54.549999 53.279999 53.349998 4962000 40.295883
"2007-04-24" 53.380001 53.560001 52.639999 53.27 6151900 40.235459
"2007-04-25" 53.900002 54.509998 53.529999 54.200001 6719100 40.937899
"2007-04-26" 54.259998 54.259998 53.360001 53.57 6253800 40.462052
"2007-04-27" 52.720001 53.490002 52.439999 53.490002 7558000 40.401629
"2007-04-30" 53.529999 53.540001 52.290001 52.560001 7210600 39.699189
"2007-05-01" 52.799999 52.91 52.02 52.5 6096800 39.653869
"2007-05-02" 52.900002 53.799999 52.869999 53.59 7815500 40.477159
"2007-05-03" 54.25 54.529999 53.860001 54.5 6041500 41.164492
"2007-05-04" 54.990002 55.27 54.48 54.880001 4310200 41.451512
"2007-05-07" 54.700001 54.98 54.43 54.700001 5214000 41.315555
"2007-05-08" 54.34 54.830002 53.580002 54.830002 8410100 41.413747
"2007-05-09" 54.490002 56.169998 54.41 56.080002 8740500 42.357886
"2007-05-10" 55.77 56.060001 54.279999 54.509998 11638900 41.172044
"2007-05-11" 54.75 55.75 54.740002 55.68 7769000 42.055761
"2007-05-14" 55.5 55.939999 54.740002 55.209999 7726500 41.700763
"2007-05-15" 55.360001 56.380001 55.150002 56.02 10197700 42.312567
"2007-05-16" 56.75 58.049999 56.32 57.799999 11010200 43.657021
"2007-05-17" 57.470001 58.349998 57.009998 57.75 9362000 43.619256
"2007-05-18" 57.68 58.490002 57.389999 58.419998 7718200 44.125313
"2007-05-21" 58.68 59.68 58.5 59 16920800 44.563395
"2007-05-22" 59.5 59.5 58.490002 58.490002 9055200 44.178188
"2007-05-23" 58.889999 59.48 57.990002 58.220001 6504300 43.974253
"2007-05-24" 57.700001 58.450001 55.77 56.150002 12882000 42.410758
"2007-05-25" 57.110001 57.939999 56.990002 57.849998 6048600 43.694786
"2007-05-29" 58.990002 59.25 57.400002 58.139999 8494900 43.913827
"2007-05-30" 56.759998 59.209999 56.16 59.189999 8437600 44.706904
"2007-05-31" 59.700001 60.099998 59.049999 59.290001 5764500 44.782437
"2007-06-01" 60.200001 61.439999 60.200001 61.200001 8301200 46.225082
"2007-06-04" 60.200001 60.970001 60.080002 60.650002 6069400 45.809661
"2007-06-05" 60.380001 60.57 59.540001 60.150002 7286300 45.432005
"2007-06-06" 59.200001 59.389999 57.84 58.529999 12866900 44.208398
"2007-06-07" 58.400002 58.93 55.549999 56.209999 13699300 42.456075
"2007-06-08" 56.959999 58.599998 56.259998 58.240002 11916600 43.98936
"2007-06-11" 58.48 59.669998 58.110001 59.220001 7927500 44.729565
"2007-06-12" 58.959999 59.34 57.799999 58.32 12231600 44.049783
"2007-06-13" 58.619999 59.77 58.369999 59.41 8000600 44.873073
"2007-06-14" 60.25 61.119999 60.220001 61.049999 7141200 46.111784
"2007-06-15" 62.049999 62.75 62.029999 62.66 8061700 47.327836
"2007-06-18" 63.349998 63.349998 62.330002 62.919998 7879800 47.524216
"2007-06-19" 62.650002 63.080002 62.419998 62.68 6120100 47.342943
"2007-06-20" 63.07 63.279999 61.049999 61.27 9664500 46.277954
"2007-06-21" 61.57 62.669998 60.790001 62.34 9039900 47.086137
"2007-06-22" 61.939999 61.970001 60.689999 61.209999 8107400 46.232634
"2007-06-25" 60.540001 61.75 59.889999 60.5 8407800 45.696363
"2007-06-26" 61.259998 61.259998 59.650002 59.779999 8047000 45.152538
"2007-06-27" 59.200001 60.84 58.950001 60.84 7327100 45.953169
"2007-06-28" 61.279999 61.849998 60.919998 60.959999 7970700 46.043806
"2007-06-29" 61.439999 61.990002 60.650002 61.419998 8150500 46.391249
"2007-07-02" 61.939999 63.080002 61.91 62.880001 6456200 47.494006
"2007-07-03" 63.400002 63.75 62.77 63.419998 4510600 47.901872
"2007-07-05" 63.450001 64 63.099998 63.880001 7849100 48.249318
"2007-07-06" 64.529999 64.919998 64 64.910004 7225700 49.027291
"2007-07-09" 64.989998 65.849998 64.93 65.379997 6119200 49.382283
"2007-07-10" 64.550003 65 64.050003 64.43 10451000 48.664739
"2007-07-11" 64.089996 65.699997 64.089996 65.559998 7255200 49.518239
"2007-07-12" 66.129997 67.940002 66.099998 67.839996 8324700 51.240349
"2007-07-13" 67.980003 68.57 67.339996 68.209999 6238600 51.519816
"2007-07-16" 68.150002 68.199997 67 67.599998 7592100 51.059076
"2007-07-17" 67.900002 68.349998 67.510002 68.220001 6019700 51.527371
"2007-07-18" 67.800003 68.269997 67.150002 68.18 8140100 51.497158
"2007-07-19" 69.160004 69.480003 68.779999 69 8179400 52.116513
"2007-07-20" 68.739998 68.809998 67.480003 68.239998 8252600 51.542475
"2007-07-23" 69.199997 69.849998 68.559998 69.790001 7266900 52.71321
"2007-07-24" 69.129997 70 65.339996 66.089996 14445700 49.918553
"2007-07-25" 66.410004 67.230003 64 66.440002 17192000 50.182917
"2007-07-26" 63.799999 64.18 60.130001 62.25 24797100 47.018159
"2007-07-27" 63.48 63.599998 61.240002 61.869999 20848100 46.731139
"2007-07-30" 62.799999 64.5 62.099998 64 14892200 48.339954
"2007-07-31" 65.050003 65.75 63.09 63.599998 17703800 48.037829
"2007-08-01" 62.66 63.439999 61.360001 62.98 19478500 47.569536
"2007-08-02" 64.010002 64.190002 63.099998 64.190002 13969300 48.483465
"2007-08-03" 63.689999 64.150002 60.59 60.900002 15678100 45.998489
"2007-08-06" 60.900002 61.77 58.77 61.099998 19314400 46.149549
"2007-08-07" 60.990002 62.75 60.509998 62.18 19536200 46.965287
"2007-08-08" 63.400002 64.93 63.34 64.279999 15559400 48.551441
"2007-08-09" 61.950001 62.889999 60.889999 60.900002 18366100 45.998489
"2007-08-10" 59.009998 60.369999 57.830002 59.5 20012700 44.941051
"2007-08-13" 60.560001 61.59 59 59.099998 11303100 44.638925
"2007-08-14" 59.34 59.470001 56.5 56.619999 19591300 42.765753
"2007-08-15" 55.599998 57.040001 52.639999 52.959999 24276000 40.001312
"2007-08-16" 49.860001 51.619999 46.610001 51.279999 43570100 38.732388
"2007-08-17" 53.900002 55.200001 50.509998 53.080002 29339600 40.091951
"2007-08-20" 53.5 54.580002 52.240002 53.799999 17615700 40.635774
"2007-08-21" 53.200001 54.650002 52.68 53.919998 12827800 40.72641
"2007-08-22" 55.610001 57.5 55.610001 57.5 20740500 43.430428
"2007-08-23" 57.889999 58.59 56.470001 57.799999 16684900 43.657021
"2007-08-24" 57.259998 60.240002 57.200001 60 13476400 45.318707
"2007-08-27" 59.75 60.720001 59 59.919998 9776500 45.258281
"2007-08-28" 58.98 59.369999 56.220001 56.849998 15718000 42.939474
"2007-08-29" 57.73 59.68 57.310001 59.34 15403600 44.820202
"2007-08-30" 58.299999 60.560001 57.900002 59.209999 13932500 44.72201
"2007-08-31" 61 61.959999 60.689999 61.549999 15097700 46.48944
"2007-09-04" 61.799999 63.439999 61.610001 62.740002 11540500 47.388263
"2007-09-05" 61.619999 62.040001 60.950001 61.779999 9836500 46.663161
"2007-09-06" 62.299999 62.860001 61.810001 62.599998 7979600 47.282517
"2007-09-07" 61.34 61.84 59.779999 61.200001 13508700 46.225082
"2007-09-10" 61.32 61.389999 59.360001 60.540001 12367200 45.726576
"2007-09-11" 61.709999 62.77 61.43 62.490002 10095000 47.199435
"2007-09-12" 62.669998 63.869999 62.580002 63.099998 8412100 47.660173
