"EZU.Open" "EZU.High" "EZU.Low" "EZU.Close" "EZU.Volume" "EZU.Adjusted"
"2007-01-03" 104.849998 104.910004 103.510002 103.900002 254400 39.278414
"2007-01-04" 103.459999 103.809998 103 103.5 640000 39.127197
"2007-01-05" 102.949997 102.949997 101.879997 102.25 500200 38.654646
"2007-01-08" 102.660004 102.660004 101.889999 102.400002 265600 38.711353
"2007-01-09" 102.650002 102.669998 101.150002 102.190002 293200 38.631965
"2007-01-10" 101.029999 101.389999 100.849998 101.349998 246800 38.314409
"2007-01-11" 101.489998 102.510002 101.489998 102.019997 610400 38.567696
"2007-01-12" 102.610001 103.089996 102.449997 103.089996 304000 38.972199
"2007-01-16" 103.279999 103.279999 102.480003 102.75 423600 38.843667
"2007-01-17" 102.309998 102.769997 102.120003 102.5 365800 38.749157
"2007-01-18" 102.720001 103.190002 102.080002 102.18 452800 38.628184
"2007-01-19" 102.389999 103.589996 102.389999 103.559998 315600 39.149879
"2007-01-22" 103.720001 103.720001 102.480003 102.690002 190000 38.820985
"2007-01-23" 103.040001 103.620003 102.849998 103.510002 217000 39.130978
"2007-01-24" 103.610001 104.089996 103.529999 104.089996 371400 39.35024
"2007-01-25" 103.849998 104.07 102.440002 102.599998 633800 38.78696
"2007-01-26" 103.050003 103.080002 102.25 102.889999 567600 38.896592
"2007-01-29" 102.849998 103.540001 102.849998 103.150002 134000 38.994884
"2007-01-30" 103.639999 104.169998 103.540001 104.139999 277200 39.369143
"2007-01-31" 103.610001 104.889999 103.43 104.849998 604800 39.637551
"2007-02-01" 105.150002 105.449997 104.860001 105.449997 160800 39.864375
"2007-02-02" 105.190002 105.230003 104.809998 105.129997 103600 39.743402
"2007-02-05" 104.779999 104.849998 104.360001 104.769997 316800 39.607307
"2007-02-06" 105.309998 105.309998 104.690002 105.260002 149000 39.792549
"2007-02-07" 105.779999 106.160004 105.419998 106.059998 343600 40.09498
"2007-02-08" 105.309998 105.949997 105.080002 105.949997 168200 40.053395
"2007-02-09" 105.75 105.809998 104.889999 105.199997 200800 39.769865
"2007-02-12" 104.669998 104.879997 104.07 104.07 153000 39.34268
"2007-02-13" 105.529999 106.099998 105.230003 106.019997 105600 40.079858
"2007-02-14" 106.68 107.610001 106.540001 107.349998 237200 40.582653
"2007-02-15" 107.629997 107.669998 107.230003 107.580002 105200 40.669603
"2007-02-16" 107.019997 107.529999 106.879997 107.529999 114400 40.6507
"2007-02-20" 107.300003 107.959999 106.879997 107.959999 236000 40.813258
"2007-02-21" 106.980003 107.379997 106.82 107.379997 92600 40.593993
"2007-02-22" 107.269997 107.650002 107.18 107.599998 237800 40.677163
"2007-02-23" 107.709999 107.900002 107.470001 107.809998 93000 40.756551
"2007-02-26" 109.639999 109.639999 107.760002 108.099998 182200 40.866183
"2007-02-27" 106.080002 106.169998 101.580002 102.07 908200 38.586599
"2007-02-28" 104.019997 104.440002 103.25 103.900002 991400 39.278414
"2007-03-01" 101.949997 102.790001 101 102.019997 596600 38.567696
"2007-03-02" 101.540001 102.199997 101.010002 101.010002 782000 38.185877
"2007-03-05" 99.620003 100.690002 98.830002 98.830002 513600 37.361748
"2007-03-06" 100.489998 102.25 100.489998 102.099998 519200 38.59794
"2007-03-07" 101.510002 102.68 101.510002 102.199997 568400 38.635743
"2007-03-08" 103.120003 103.68 102.709999 103.300003 409800 39.05159
"2007-03-09" 103.410004 103.739998 103.099998 103.559998 112200 39.149879
"2007-03-12" 102.989998 104.260002 102.989998 103.919998 213000 39.285973
"2007-03-13" 103.029999 103.370003 101 101 335800 38.182096
"2007-03-14" 100.779999 102 99.739998 101.970001 486600 38.548796
"2007-03-15" 101.300003 102.32 101.209999 102.150002 227400 38.616843
"2007-03-16" 102.900002 103.510002 102.550003 102.580002 311600 38.779401
"2007-03-19" 104.190002 104.550003 103.849998 104.540001 214200 39.52036
"2007-03-20" 104.139999 105.199997 103.919998 105.139999 119400 39.747183
"2007-03-21" 105.720001 109 105.290001 107.650002 615800 40.696066
"2007-03-22" 107.989998 107.989998 107.080002 107.400002 403400 40.601556
"2007-03-23" 107.830002 108.110001 107.559998 108 280000 40.82838
"2007-03-26" 108.18 108.18 106.779999 108.080002 142000 40.858624
"2007-03-27" 107.449997 107.769997 107.019997 107.440002 201600 40.616678
"2007-03-28" 106.660004 107.300003 106.599998 106.599998 465200 40.299122
"2007-03-29" 108.150002 108.769997 107 107 243600 40.450339
"2007-03-30" 107.720001 108.519997 107.720001 108.220001 391000 40.911549
"2007-04-02" 108.849998 108.910004 108.209999 108.760002 135600 41.115691
"2007-04-03" 109.160004 110.139999 109.160004 109.970001 321800 41.57312
"2007-04-04" 110.129997 110.540001 109.760002 110.449997 562000 41.754578
"2007-04-05" 110.959999 111.519997 110.82 111.389999 366400 42.109937
"2007-04-09" 108.489998 112.260002 108.489998 111 226800 41.962501
"2007-04-10" 111.690002 112.160004 111.379997 112.050003 431200 42.359445
"2007-04-11" 112.480003 112.480003 111.25 112.07 817200 42.367005
