"FXC.Open" "FXC.High" "FXC.Low" "FXC.Close" "FXC.Volume" "FXC.Adjusted"
"2007-01-03" 85.559998 85.690002 85.230003 85.330002 15100 79.950156
"2007-01-04" 85.07 85.139999 84.919998 84.949997 5800 79.59411
"2007-01-05" 84.940002 85.139999 84.940002 85.110001 1800 79.744025
"2007-01-08" 85.040001 85.139999 84.889999 85.139999 5700 79.772133
"2007-01-09" 84.860001 85.089996 84.830002 85.080002 3100 79.715918
"2007-01-10" 84.839996 85.120003 84.839996 85.080002 1800 79.715918
"2007-01-11" 84.93 85.080002 84.93 85.019997 2100 79.659696
"2007-01-12" 85.480003 85.699997 85.470001 85.699997 5000 80.296824
"2007-01-16" 85.75 85.800003 85.080002 85.080002 6100 79.715918
"2007-01-17" 85.349998 85.440002 85.230003 85.339996 2600 79.959521
"2007-01-18" 85.379997 85.379997 85.25 85.330002 2000 79.950156
"2007-01-19" 85.410004 85.57 85.330002 85.440002 700 80.053221
"2007-01-22" 85.339996 85.339996 84.699997 84.699997 6100 79.359871
"2007-01-23" 84.68 84.949997 84.68 84.900002 3100 79.547266
"2007-01-24" 84.800003 84.989998 84.68 84.989998 24800 79.631589
"2007-01-25" 85.019997 85.139999 84.809998 84.809998 3600 79.462937
"2007-01-26" 84.949997 85.040001 84.870003 84.970001 22000 79.612853
"2007-01-29" 84.809998 84.830002 84.730003 84.779999 11500 79.434829
"2007-01-30" 84.910004 84.949997 84.830002 84.879997 6300 79.528523
"2007-01-31" 84.629997 85.260002 84.629997 85.199997 17200 79.828348
"2007-02-01" 84.949997 85.129997 84.779999 84.849998 4100 79.730626
"2007-02-02" 84.5 84.540001 84.330002 84.360001 7600 79.270192
"2007-02-05" 84.449997 84.739998 84.449997 84.580002 2800 79.476919
"2007-02-06" 84.5 84.669998 84.5 84.669998 900 79.561486
"2007-02-07" 84.660004 84.660004 84.400002 84.489998 4000 79.392346
"2007-02-08" 84.339996 84.68 84.290001 84.68 21200 79.570885
"2007-02-09" 85.110001 85.459999 85.080002 85.419998 3900 80.266235
"2007-02-12" 85.300003 85.379997 85.120003 85.169998 5700 80.031319
"2007-02-13" 85.599998 85.860001 85.580002 85.849998 25000 80.670292
"2007-02-14" 85.75 85.980003 85.75 85.949997 9200 80.764257
"2007-02-15" 85.949997 86.169998 85.949997 86.129997 19500 80.933397
"2007-02-16" 86.120003 86.169998 86.050003 86.120003 3000 80.924005
"2007-02-20" 85.830002 85.879997 85.550003 85.550003 7500 80.388396
"2007-02-21" 86.199997 86.480003 86.199997 86.440002 4700 81.224698
"2007-02-22" 86.360001 86.379997 86.300003 86.330002 5500 81.121334
"2007-02-23" 86.620003 86.690002 86.459999 86.459999 7200 81.243488
"2007-02-26" 86.480003 86.540001 86.389999 86.449997 14200 81.23409
"2007-02-27" 86.349998 86.349998 85.919998 86.040001 12000 80.84883
"2007-02-28" 85.779999 85.779999 85.459999 85.760002 23400 80.585725
"2007-03-01" 85.199997 85.529999 85.199997 85.449997 5900 80.50564
"2007-03-02" 85.199997 85.199997 85 85.010002 10000 80.091104
"2007-03-05" 84.699997 84.879997 83.110001 84.720001 6600 79.817883
"2007-03-06" 85.18 85.230003 85.019997 85.099998 3900 80.175893
"2007-03-07" 85 85 84.870003 84.910004 3200 79.996892
"2007-03-08" 84.800003 84.860001 84.739998 84.860001 5900 79.949782
"2007-03-09" 85.150002 85.5 85.099998 85.360001 5600 80.420851
"2007-03-12" 85.599998 85.709999 85.489998 85.519997 10300 80.571589
"2007-03-13" 85.550003 85.690002 85.32 85.349998 6200 80.411427
"2007-03-14" 85.300003 85.400002 85.029999 85.129997 2300 80.204156
"2007-03-15" 85.199997 85.25 85.089996 85.089996 2000 80.16647
"2007-03-16" 85.389999 85.5 85.120003 85.120003 5000 80.19474
"2007-03-19" 85.300003 85.300003 85 85.050003 4500 80.12879
"2007-03-20" 85.800003 86.410004 85.800003 86.379997 14100 81.381828
"2007-03-21" 86.529999 86.970001 86.400002 86.849998 19200 81.824634
"2007-03-22" 86.629997 86.660004 86.440002 86.57 9100 81.560836
"2007-03-23" 86.559998 86.559998 86.379997 86.379997 2100 81.381828
"2007-03-26" 86.25 86.43 86.18 86.220001 5200 81.23109
"2007-03-27" 86.660004 86.660004 86.510002 86.639999 5600 81.626786
"2007-03-28" 86.599998 86.709999 86.57 86.580002 6300 81.57026
"2007-03-29" 86.669998 86.709999 86.550003 86.550003 1100 81.541997
"2007-03-30" 86.860001 87.260002 86.860001 87.099998 17100 82.060168
"2007-04-02" 86.620003 86.669998 86.459999 86.459999 26000 81.693557
"2007-04-03" 86.43 86.519997 86.260002 86.330002 3000 81.570726
"2007-04-04" 86.43 86.529999 86.349998 86.370003 4400 81.608522
"2007-04-05" 86.849998 87.099998 86.839996 87 12900 82.203788
"2007-04-09" 86.879997 86.970001 86.800003 86.849998 5200 82.062056
"2007-04-10" 87.32 87.379997 87.220001 87.300003 9800 82.487252
"2007-04-11" 87.580002 87.919998 87.459999 87.919998 9800 83.073068
"2007-04-12" 88.019997 88.32 88.010002 88.279999 10400 83.413222
"2007-04-13" 88.139999 88.169998 87.93 88.120003 13000 83.262046
"2007-04-16" 88.449997 88.68 88.300003 88.540001 14300 83.658891
"2007-04-17" 88.599998 88.730003 88.540001 88.57 15400 83.687235
"2007-04-18" 88.839996 88.949997 88.75 88.900002 8100 83.999045
"2007-04-19" 88.889999 88.889999 88.709999 88.709999 3300 83.819517
"2007-04-20" 88.980003 89.349998 88.980003 89.190002 8100 84.273058
"2007-04-23" 89.150002 89.410004 89.120003 89.370003 7600 84.443135
"2007-04-24" 89.43 89.43 89.220001 89.260002 2400 84.339199
"2007-04-25" 89.620003 90.059998 89.589996 89.980003 4900 85.019507
"2007-04-26" 89.620003 89.68 89.370003 89.43 4900 84.499825
"2007-04-27" 90 90.029999 89.720001 89.889999 4700 84.934465
"2007-04-30" 90.25 90.800003 90.25 90.440002 12600 85.454147
"2007-05-01" 90.43 90.480003 89.860001 90.010002 19600 85.284546
"2007-05-02" 90.300003 90.370003 90.160004 90.279999 5300 85.540368
"2007-05-03" 90.360001 90.440002 90.260002 90.330002 17800 85.587746
"2007-05-04" 90.559998 90.580002 90.290001 90.43 18400 85.682494
"2007-05-07" 90.870003 90.919998 90.669998 90.839996 11200 86.070966
"2007-05-08" 90.599998 90.709999 90.449997 90.559998 6200 85.805667
"2007-05-09" 90.599998 90.599998 90.220001 90.449997 16600 85.701441
"2007-05-10" 90.339996 90.43 89.879997 90.050003 4800 85.322447
"2007-05-11" 89.849998 90 89.599998 89.919998 12400 85.199267
"2007-05-14" 90.300003 90.510002 90.300003 90.440002 12500 85.691972
"2007-05-15" 91 91.330002 90.980003 91.220001 22300 86.431021
"2007-05-16" 91.050003 91.099998 90.650002 90.809998 28700 86.042542
"2007-05-17" 90.980003 91.330002 90.980003 91.169998 11300 86.383643
"2007-05-18" 91.769997 92.139999 91.660004 92.010002 32500 87.179547
"2007-05-21" 92.349998 92.480003 92.220001 92.379997 36500 87.530118
"2007-05-22" 92.300003 92.419998 92.18 92.330002 9100 87.482747
"2007-05-23" 92.5 92.75 92.5 92.690002 7300 87.823848
"2007-05-24" 92.800003 92.839996 92.370003 92.480003 3900 87.624874
"2007-05-25" 92.769997 93 92.760002 92.93 9600 88.051246
"2007-05-29" 93.5 93.68 93.370003 93.419998 31200 88.51552
"2007-05-30" 93.339996 93.43 93.260002 93.419998 27500 88.51552
"2007-05-31" 93.900002 94 93.620003 93.75 27500 88.828197
"2007-06-01" 93.900002 94.360001 93.739998 94.260002 42400 89.569384
"2007-06-04" 94.620003 94.709999 94.529999 94.589996 84300 89.882957
"2007-06-05" 94.519997 94.529999 94.150002 94.169998 26400 89.483859
"2007-06-06" 94.669998 94.82 94.550003 94.599998 28200 89.892462
"2007-06-07" 94.5 94.57 94.099998 94.169998 10300 89.483859
"2007-06-08" 94.089996 94.459999 94.089996 94.459999 19300 89.759429
"2007-06-11" 94.410004 94.440002 94.209999 94.410004 18800 89.711921
"2007-06-12" 94.239998 94.279999 93.849998 93.870003 30500 89.198792
"2007-06-13" 93.599998 94 93.5 93.889999 28400 89.217794
"2007-06-14" 93.839996 93.879997 93.720001 93.720001 6600 89.056255
"2007-06-15" 94.209999 94.220001 93.699997 93.720001 32900 89.056255
"2007-06-18" 93.360001 93.540001 93.260002 93.540001 17000 88.885212
"2007-06-19" 93.639999 94.339996 93.639999 94.230003 30100 89.540878
"2007-06-20" 93.82 94.230003 93.790001 93.93 21200 89.255804
"2007-06-21" 93.540001 93.580002 93.110001 93.18 86300 88.543126
"2007-06-22" 93.510002 93.809998 93.510002 93.639999 10700 88.980235
"2007-06-25" 93.519997 93.769997 93.519997 93.580002 18400 88.923223
"2007-06-26" 93.769997 93.849998 93.650002 93.75 15900 89.084761
"2007-06-27" 93.489998 93.669998 93.459999 93.639999 14500 88.980235
"2007-06-28" 94.410004 94.699997 94.309998 94.699997 31700 89.987484
"2007-06-29" 94.440002 94.559998 94.18 94.220001 19100 89.531374
"2007-07-02" 94.550003 95.019997 94.5 94.800003 25300 90.336589
"2007-07-03" 94.699997 94.760002 94.18 94.360001 16200 89.917303
"2007-07-05" 94.519997 94.790001 94.510002 94.760002 6600 90.298472
"2007-07-06" 95.309998 95.639999 95.309998 95.410004 24800 90.917869
"2007-07-09" 95.589996 95.660004 95.400002 95.419998 21700 90.927393
"2007-07-10" 95.059998 95.279999 95.040001 95.260002 11600 90.77493
