"USD.Open" "USD.High" "USD.Low" "USD.Close" "USD.Volume" "USD.Adjusted"
"2007-02-01" 70.769997 70.769997 70.769997 70.769997 500 63.692346
"2007-02-02" 72.040001 72.040001 72.040001 72.040001 2500 64.835338
"2007-02-05" 73.5 73.5 72.589996 73.029999 2900 65.726327
"2007-02-06" 71.900002 72.349998 71 72.330002 2600 65.096336
"2007-02-07" 73.410004 74.650002 72.800003 74.650002 3600 67.184314
"2007-02-08" 72.690002 72.690002 72.690002 72.690002 1000 65.420333
"2007-02-09" 75.18 75.18 71.440002 71.440002 9300 64.295345
"2007-02-12" 70.699997 70.699997 70.699997 70.699997 100 63.629347
"2007-02-13" 70.480003 70.480003 70.099998 70.419998 1700 63.37735
"2007-02-14" 71.699997 73.589996 71.550003 73.220001 3500 65.897327
"2007-02-15" 73.82 74.059998 73.82 74.059998 600 66.653316
"2007-02-16" 73.739998 73.82 73.620003 73.620003 12700 66.257325
"2007-02-20" 71.809998 73.959999 71.809998 73.629997 5500 66.26632
"2007-02-21" 72.360001 72.639999 72.360001 72.639999 1100 65.375331
"2007-02-22" 75.68 76.330002 75.07 75.989998 14300 68.390299
"2007-02-23" 76.599998 77.019997 76.400002 76.620003 6200 68.957297
"2007-02-26" 76.419998 76.419998 75.669998 76.230003 2400 68.606301
"2007-02-27" 73.769997 74.559998 70.830002 70.949997 18200 63.854344
"2007-02-28" 71.849998 71.849998 70.489998 71.029999 11500 63.926345
"2007-03-01" 67.099998 70.330002 67.099998 69.480003 5200 62.531364
"2007-03-02" 69.019997 69.019997 66.980003 67.099998 21500 60.389381
"2007-03-05" 67.230003 67.800003 65.669998 65.669998 4200 59.102394
"2007-03-06" 67.629997 68.43 67.040001 68.150002 11000 61.334374
"2007-03-07" 68.019997 68.019997 67.209999 67.209999 14200 60.488381
"2007-03-08" 68.559998 69.5 68.559998 68.940002 6900 62.045368
"2007-03-09" 70.919998 70.919998 68.529999 69.5 3500 62.54936
"2007-03-12" 70.709999 71.349998 70.620003 70.860001 2000 63.773348
"2007-03-13" 70.230003 70.230003 68.080002 68.160004 10400 61.343376
"2007-03-14" 68 68.559998 66.849998 68.169998 21000 61.352371
"2007-03-15" 68.949997 68.949997 67.870003 68.480003 25300 61.631373
"2007-03-16" 67.300003 67.940002 67.300003 67.639999 24700 60.875377
"2007-03-19" 68.120003 68.120003 67.099998 67.099998 4000 60.389381
"2007-03-20" 67.150002 67.849998 67.150002 67.800003 600 61.019379
"2007-03-21" 68 70.839996 67.779999 70.050003 9400 63.044358
"2007-03-22" 69.529999 69.540001 68.93 68.93 7000 62.036366
"2007-03-23" 69.18 69.800003 69.18 69.800003 2400 62.81936
"2007-03-26" 69.589996 69.589996 68.07 69.290001 2100 62.360363
"2007-03-27" 69.239998 69.360001 68.800003 68.959999 1700 62.063365
"2007-03-28" 67.82 67.949997 66.849998 66.860001 42900 60.173385
"2007-03-29" 67.919998 67.919998 64.690002 65.860001 16000 59.273394
"2007-03-30" 66.940002 66.940002 65.900002 66.32 19600 59.687389
