"GSPTSE.Open" "GSPTSE.High" "GSPTSE.Low" "GSPTSE.Close" "GSPTSE.Volume" "GSPTSE.Adjusted"
"2007-01-02" 12924.5 12989.599609 12908.400391 12923.700195 60857400 12923.700195
"2007-01-03" 12919.200195 12926.400391 12672.799805 12701.400391 199791400 12701.400391
"2007-01-04" 12679.200195 12701.400391 12519.400391 12553.599609 247371600 12553.599609
"2007-01-05" 12517.599609 12553.599609 12439.299805 12478 201713900 12478
"2007-01-08" 12558.299805 12617.299805 12478 12553.099609 172708200 12553.099609
"2007-01-09" 12496.799805 12553.099609 12412.799805 12468 207620800 12468
"2007-01-10" 12461.200195 12474.200195 12412.599609 12457.599609 196377200 12457.599609
"2007-01-11" 12455 12594.099609 12453.099609 12519.900391 213038300 12519.900391
"2007-01-12" 12565.200195 12702.900391 12519.900391 12678.799805 186501500 12678.799805
"2007-01-15" 12714.700195 12776.400391 12678.799805 12755.400391 75247400 12755.400391
"2007-01-16" 12708.200195 12760.200195 12679.599609 12720.299805 186471100 12720.299805
"2007-01-17" 12705.700195 12751.200195 12651.400391 12730.400391 193312500 12730.400391
"2007-01-18" 12762.400391 12795.900391 12629.700195 12640.700195 202792000 12640.700195
"2007-01-19" 12638.700195 12751.599609 12637.5 12719 184046200 12719
"2007-01-22" 12779.299805 12790.599609 12696.200195 12705.799805 161886800 12705.799805
"2007-01-23" 12765.5 12910.900391 12705.799805 12910.900391 220488600 12910.900391
"2007-01-24" 12875.799805 13030.099609 12875.799805 13010.700195 196440200 13010.700195
"2007-01-25" 13038.200195 13046.599609 12921.799805 12927.299805 221637500 12927.299805
"2007-01-26" 12976.200195 13006.799805 12927.299805 12979.299805 154448900 12979.299805
"2007-01-29" 12988.700195 13025 12926 12946 216575300 12946
"2007-01-30" 12951.900391 13034.200195 12924.400391 13014.599609 229124000 13014.599609
"2007-01-31" 12967 13074.099609 12970.5 13034.099609 221977700 13034.099609
"2007-02-01" 13090.700195 13178.900391 13034.099609 13144.700195 220033300 13144.700195
"2007-02-02" 13177.700195 13177.799805 13102.5 13111.599609 187389600 13111.599609
"2007-02-05" 13144.900391 13177 13111.599609 13166.700195 140378600 13166.700195
"2007-02-06" 13204 13222.400391 13158.400391 13183.299805 174213000 13183.299805
"2007-02-07" 13210.599609 13237.700195 13108.200195 13142.299805 194201100 13142.299805
"2007-02-08" 13138.900391 13185.099609 13095.599609 13184.299805 199769200 13184.299805
"2007-02-09" 13177.5 13209.299805 13069.799805 13084 201590600 13084
"2007-02-12" 13100.599609 13128.799805 13018.599609 13040.5 157700800 13040.5
"2007-02-13" 13068.099609 13171.799805 13040.5 13171.799805 191164800 13171.799805
"2007-02-14" 13209.5 13258.799805 13171.799805 13204.5 195645300 13204.5
