^AORD	AUSAllOrdinaries
^DJI	DoweJonesIndustrailAvr
^IXIC	NASDAQ
^GSPTSE	Canadianindex
EWA	Australian
EWO	Austria
EWZ	Brazil
EWC	Brazil
FXI	China
EWG	Germany
EWH	HongKong
INDA	India
EWI	Italy
EWJ	Japan
EWW	Mexico
RSX	Russia
EZA	SouthAfrica
EWY	SouthKorea
EFA	Canada
SPY	US
VEU	AllworldexcludingUS
IWM	SmallUSEquity
DIA	DowJonesIndustrialAverage
SPDR	DowJonesIndustrialAverage
QQQ	NASDAQ
XLE	EnergySectorSPDR
XLF	FinancialSectorSPDR	
IYR	USRealEstate
OIH	Oil
BBH	BIOTech
USO	USOil
GLD	Gold
SLV	Silver
UNG	USNaturalGas
BKF	BRICcountries
EZU	EuropeanUnion
EUR	EuroDollar
EEM	EmergingMarkets
FXA	Australiandollar
AUD	AustralianDollar
FXB	Britishpound
GBP	Britishpound
FXC	Canadiandollar
CYB	Chineseyuan
FXE	Euro
INR	Indianrupee
FXM	Mexicanpeso
FXJ	Japaneseyen
JYP	Japaneseyen
FXRU	Russianruble
FXF	Swissfranc
DXY	USDollar
USD	USDollar
